"Sample","Abundance","Phenotype"
"M1_1_MSS",24.29438489,"MSS"
"M1_2_MSS",44475.96381,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",6269.14095,"MSS"
"T49_1_MSS",1135.816869,"MSS"
"T49_2_MSS",21933.89963,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",772.9056302,"PD"
"M43_2_PD",2136.746203,"PD"
"M64_1_PD",1820.723776,"PD"
"M64_2_PD",1727.90983,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",43138.90442,"MSS"
"M5_1_MSS",2102.056186,"MSS"
"M5_2_MSS",50355.05143,"MSS"
"T49_1_MSS",248.9275305,"MSS"
"T49_2_MSS",3239.160055,"MSS"
"M42_1_PD",1315.904473,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",0,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",892.3564739,"PD"
"M1_1_MSS",3412.603318,"MSS"
"M1_2_MSS",172143.0403,"MSS"
"M5_1_MSS",77323.01892,"MSS"
"M5_2_MSS",307637.4289,"MSS"
"T49_1_MSS",98442.27728,"MSS"
"T49_2_MSS",192982.3696,"MSS"
"M42_1_PD",24851.34409,"PD"
"M42_2_PD",16547.95036,"PD"
"M43_1_PD",5565.282098,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",3264.562572,"PD"
"M64_2_PD",5901.957686,"PD"
"M1_1_MSS",220431.1788,"MSS"
"M1_2_MSS",145656.8866,"MSS"
"M5_1_MSS",104287.8149,"MSS"
"M5_2_MSS",75887.3652,"MSS"
"T49_1_MSS",773377.4981,"MSS"
"T49_2_MSS",481165.5377,"MSS"
"M42_1_PD",1027196.292,"PD"
"M42_2_PD",1163747.376,"PD"
"M43_1_PD",4080239.182,"PD"
"M43_2_PD",4885818.113,"PD"
"M64_1_PD",3093786.793,"PD"
"M64_2_PD",2759104.544,"PD"
"M1_1_MSS",18254.77813,"MSS"
"M1_2_MSS",8529.754751,"MSS"
"M5_1_MSS",35955.90078,"MSS"
"M5_2_MSS",44102.31611,"MSS"
"T49_1_MSS",57145.16817,"MSS"
"T49_2_MSS",34638.00992,"MSS"
"M42_1_PD",21231.25588,"PD"
"M42_2_PD",49499.69621,"PD"
"M43_1_PD",666107.0448,"PD"
"M43_2_PD",379313.6153,"PD"
"M64_1_PD",255792.1172,"PD"
"M64_2_PD",579765.0018,"PD"
"M1_1_MSS",644513.3184,"MSS"
"M1_2_MSS",261938.0254,"MSS"
"M5_1_MSS",187023.4843,"MSS"
"M5_2_MSS",124867.7152,"MSS"
"T49_1_MSS",4487443.692,"MSS"
"T49_2_MSS",2572575.275,"MSS"
"M42_1_PD",535809.1872,"PD"
"M42_2_PD",434645.8917,"PD"
"M43_1_PD",91361.87812,"PD"
"M43_2_PD",65997.91272,"PD"
"M64_1_PD",243250.4386,"PD"
"M64_2_PD",206632.6444,"PD"
"M1_1_MSS",686819.9955,"MSS"
"M1_2_MSS",331983.602,"MSS"
"M5_1_MSS",252694.3025,"MSS"
"M5_2_MSS",322889.5265,"MSS"
"T49_1_MSS",34886738.4,"MSS"
"T49_2_MSS",6651273.662,"MSS"
"M42_1_PD",832708.6977,"PD"
"M42_2_PD",827703.4096,"PD"
"M43_1_PD",498518.852,"PD"
"M43_2_PD",118448.8384,"PD"
"M64_1_PD",151636.8015,"PD"
"M64_2_PD",121583.0401,"PD"
"M1_1_MSS",815185.8369,"MSS"
"M1_2_MSS",728701.4076,"MSS"
"M5_1_MSS",267179.3637,"MSS"
"M5_2_MSS",251301.6988,"MSS"
"T49_1_MSS",26259011.13,"MSS"
"T49_2_MSS",29240205.76,"MSS"
"M42_1_PD",686115.4073,"PD"
"M42_2_PD",1776035.642,"PD"
"M43_1_PD",753784.8076,"PD"
"M43_2_PD",901784.6388,"PD"
"M64_1_PD",2063314.85,"PD"
"M64_2_PD",1653803.02,"PD"
"M1_1_MSS",1578.262851,"MSS"
"M1_2_MSS",9835.822062,"MSS"
"M5_1_MSS",2033.338669,"MSS"
"M5_2_MSS",2220.749817,"MSS"
"T49_1_MSS",541270.3124,"MSS"
"T49_2_MSS",781086.6694,"MSS"
"M42_1_PD",816.6768629,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",6839.682286,"PD"
"M43_2_PD",2764.548095,"PD"
"M64_1_PD",57.40908358,"PD"
"M64_2_PD",7160.039705,"PD"
"M1_1_MSS",2814.761655,"MSS"
"M1_2_MSS",13247.29119,"MSS"
"M5_1_MSS",2120.955928,"MSS"
"M5_2_MSS",638.1610424,"MSS"
"T49_1_MSS",994154.345,"MSS"
"T49_2_MSS",2864331.364,"MSS"
"M42_1_PD",1438.375257,"PD"
"M42_2_PD",37167.19568,"PD"
"M43_1_PD",2785.613488,"PD"
"M43_2_PD",17105.34841,"PD"
"M64_1_PD",979.5056688,"PD"
"M64_2_PD",4221.534845,"PD"
"M1_1_MSS",6044.580786,"MSS"
"M1_2_MSS",30973.87733,"MSS"
"M5_1_MSS",38365.2907,"MSS"
"M5_2_MSS",43994.34482,"MSS"
"T49_1_MSS",753849.4426,"MSS"
"T49_2_MSS",720885.5233,"MSS"
"M42_1_PD",34.12579649,"PD"
"M42_2_PD",2124.8754,"PD"
"M43_1_PD",6940.725086,"PD"
"M43_2_PD",5031.957338,"PD"
"M64_1_PD",587.9359624,"PD"
"M64_2_PD",2744.34284,"PD"
"M1_1_MSS",5925.722731,"MSS"
"M1_2_MSS",16485.18719,"MSS"
"M5_1_MSS",5490.428024,"MSS"
"M5_2_MSS",5454.321437,"MSS"
"T49_1_MSS",860590.9419,"MSS"
"T49_2_MSS",1149233.572,"MSS"
"M42_1_PD",6316.695561,"PD"
"M42_2_PD",6805.257816,"PD"
"M43_1_PD",1923.455707,"PD"
"M43_2_PD",3093.062743,"PD"
"M64_1_PD",7751.323284,"PD"
"M64_2_PD",3843.346744,"PD"
"M1_1_MSS",95988.82002,"MSS"
"M1_2_MSS",171256.2402,"MSS"
"M5_1_MSS",30311.25387,"MSS"
"M5_2_MSS",30264.84185,"MSS"
"T49_1_MSS",63838.29073,"MSS"
"T49_2_MSS",227563.6203,"MSS"
"M42_1_PD",161.4557166,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",3383.507548,"PD"
"M43_2_PD",32707.3558,"PD"
"M64_1_PD",11573.14173,"PD"
"M64_2_PD",63814.53695,"PD"
"M1_1_MSS",7089.330976,"MSS"
"M1_2_MSS",3814.877561,"MSS"
"M5_1_MSS",1906.647434,"MSS"
"M5_2_MSS",1083.956571,"MSS"
"T49_1_MSS",34834.09565,"MSS"
"T49_2_MSS",17576.90956,"MSS"
"M42_1_PD",25360.27301,"PD"
"M42_2_PD",18059.3309,"PD"
"M43_1_PD",15348.03561,"PD"
"M43_2_PD",8629.129542,"PD"
"M64_1_PD",93834.75797,"PD"
"M64_2_PD",73759.25216,"PD"
"M1_1_MSS",59729.23574,"MSS"
"M1_2_MSS",35866.65613,"MSS"
"M5_1_MSS",54688.19486,"MSS"
"M5_2_MSS",45310.93658,"MSS"
"T49_1_MSS",134641.4328,"MSS"
"T49_2_MSS",137978.1928,"MSS"
"M42_1_PD",6548.123321,"PD"
"M42_2_PD",5864.527751,"PD"
"M43_1_PD",43026.95891,"PD"
"M43_2_PD",49237.2251,"PD"
"M64_1_PD",121392.0792,"PD"
"M64_2_PD",125124.9292,"PD"
"M1_1_MSS",385.6754455,"MSS"
"M1_2_MSS",3878.369812,"MSS"
"M5_1_MSS",350.6802696,"MSS"
"M5_2_MSS",831.4361846,"MSS"
"T49_1_MSS",0,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",4603.46693,"PD"
"M43_2_PD",38769.91973,"PD"
"M64_1_PD",2234.058672,"PD"
"M64_2_PD",71940.54273,"PD"
"M1_1_MSS",25263.83487,"MSS"
"M1_2_MSS",19547.71682,"MSS"
"M5_1_MSS",6976.855789,"MSS"
"M5_2_MSS",12543.54038,"MSS"
"T49_1_MSS",24515.90632,"MSS"
"T49_2_MSS",31696.44152,"MSS"
"M42_1_PD",18150.73595,"PD"
"M42_2_PD",28909.51208,"PD"
"M43_1_PD",27835.85529,"PD"
"M43_2_PD",30334.31512,"PD"
"M64_1_PD",77551.68704,"PD"
"M64_2_PD",96774.23198,"PD"
"M1_1_MSS",18167.63623,"MSS"
"M1_2_MSS",10952.43781,"MSS"
"M5_1_MSS",5544.515632,"MSS"
"M5_2_MSS",5677.672278,"MSS"
"T49_1_MSS",19339.31976,"MSS"
"T49_2_MSS",24437.85682,"MSS"
"M42_1_PD",107809.2807,"PD"
"M42_2_PD",186936.2148,"PD"
"M43_1_PD",120237.3385,"PD"
"M43_2_PD",109147.788,"PD"
"M64_1_PD",185745.9611,"PD"
"M64_2_PD",106353.2662,"PD"
"M1_1_MSS",8753.078023,"MSS"
"M1_2_MSS",44448.61643,"MSS"
"M5_1_MSS",1360.798277,"MSS"
"M5_2_MSS",188.2465952,"MSS"
"T49_1_MSS",0,"MSS"
"T49_2_MSS",2884.781068,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",1454.65892,"PD"
"M43_2_PD",39635.1617,"PD"
"M64_1_PD",1051.380778,"PD"
"M64_2_PD",7699.514778,"PD"
"M1_1_MSS",4804.571339,"MSS"
"M1_2_MSS",75205.44586,"MSS"
"M5_1_MSS",3031.090819,"MSS"
"M5_2_MSS",629.4888406,"MSS"
"T49_1_MSS",1388.435692,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",4934.165351,"PD"
"M43_2_PD",18020.37008,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",10338.99224,"PD"
"M1_1_MSS",5725.505138,"MSS"
"M1_2_MSS",2912.015945,"MSS"
"M5_1_MSS",5347.117701,"MSS"
"M5_2_MSS",5018.642629,"MSS"
"T49_1_MSS",60647.18362,"MSS"
"T49_2_MSS",34436.59993,"MSS"
"M42_1_PD",125081.7038,"PD"
"M42_2_PD",75972.67913,"PD"
"M43_1_PD",215146.6928,"PD"
"M43_2_PD",163098.4398,"PD"
"M64_1_PD",300313.6585,"PD"
"M64_2_PD",319483.9534,"PD"
"M1_1_MSS",1680398.01,"MSS"
"M1_2_MSS",1202769.49,"MSS"
"M5_1_MSS",953192.0241,"MSS"
"M5_2_MSS",875298.5105,"MSS"
"T49_1_MSS",3306092.859,"MSS"
"T49_2_MSS",2221212.605,"MSS"
"M42_1_PD",5438326.591,"PD"
"M42_2_PD",13446273.11,"PD"
"M43_1_PD",34431282.95,"PD"
"M43_2_PD",29441234.36,"PD"
"M64_1_PD",49485761.59,"PD"
"M64_2_PD",44764441.77,"PD"
"M1_1_MSS",3234.875244,"MSS"
"M1_2_MSS",29021.01463,"MSS"
"M5_1_MSS",30649.27647,"MSS"
"M5_2_MSS",37603.40918,"MSS"
"T49_1_MSS",6137.797429,"MSS"
"T49_2_MSS",19751.8711,"MSS"
"M42_1_PD",10324.9688,"PD"
"M42_2_PD",3483.848603,"PD"
"M43_1_PD",136504.0774,"PD"
"M43_2_PD",474509.8838,"PD"
"M64_1_PD",64931.69021,"PD"
"M64_2_PD",547862.7177,"PD"
"M1_1_MSS",15911.7724,"MSS"
"M1_2_MSS",34838.01744,"MSS"
"M5_1_MSS",8723.549639,"MSS"
"M5_2_MSS",7826.855408,"MSS"
"T49_1_MSS",23805.29279,"MSS"
"T49_2_MSS",70506.47935,"MSS"
"M42_1_PD",10204.41475,"PD"
"M42_2_PD",42170.42878,"PD"
"M43_1_PD",335861.8403,"PD"
"M43_2_PD",1070398.506,"PD"
"M64_1_PD",361265.2415,"PD"
"M64_2_PD",878196.7834,"PD"
"M1_1_MSS",14196.27621,"MSS"
"M1_2_MSS",49467.8664,"MSS"
"M5_1_MSS",35187.92694,"MSS"
"M5_2_MSS",31620.5192,"MSS"
"T49_1_MSS",8403.559515,"MSS"
"T49_2_MSS",9769.817924,"MSS"
"M42_1_PD",3888.097034,"PD"
"M42_2_PD",3097.745337,"PD"
"M43_1_PD",108898.5376,"PD"
"M43_2_PD",331878.6586,"PD"
"M64_1_PD",12961.9588,"PD"
"M64_2_PD",90713.29786,"PD"
"M1_1_MSS",41601.0733,"MSS"
"M1_2_MSS",57924.49348,"MSS"
"M5_1_MSS",10532.17032,"MSS"
"M5_2_MSS",7900.675144,"MSS"
"T49_1_MSS",123422.5857,"MSS"
"T49_2_MSS",79153.67783,"MSS"
"M42_1_PD",2607.987998,"PD"
"M42_2_PD",39996.76257,"PD"
"M43_1_PD",299809.0182,"PD"
"M43_2_PD",645304.2118,"PD"
"M64_1_PD",104671.2103,"PD"
"M64_2_PD",130324.7284,"PD"
"M1_1_MSS",135262.1665,"MSS"
"M1_2_MSS",181536.345,"MSS"
"M5_1_MSS",20256.19976,"MSS"
"M5_2_MSS",9105.70425,"MSS"
"T49_1_MSS",382894.1943,"MSS"
"T49_2_MSS",711560.3125,"MSS"
"M42_1_PD",110148.777,"PD"
"M42_2_PD",57201.20289,"PD"
"M43_1_PD",21227.5509,"PD"
"M43_2_PD",192964.8926,"PD"
"M64_1_PD",16210.95241,"PD"
"M64_2_PD",407244.5965,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",164381.4078,"MSS"
"T49_2_MSS",73280.02475,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",0,"PD"
"M43_2_PD",196.8198349,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",406.0595443,"PD"
"M1_1_MSS",5233.719526,"MSS"
"M1_2_MSS",2823.68365,"MSS"
"M5_1_MSS",2566.900591,"MSS"
"M5_2_MSS",2463.69761,"MSS"
"T49_1_MSS",42325.19932,"MSS"
"T49_2_MSS",35400.53636,"MSS"
"M42_1_PD",5912.799702,"PD"
"M42_2_PD",389.5303221,"PD"
"M43_1_PD",6169.971976,"PD"
"M43_2_PD",3258.581585,"PD"
"M64_1_PD",6272.511627,"PD"
"M64_2_PD",1753.099528,"PD"
"M1_1_MSS",4975.895586,"MSS"
"M1_2_MSS",2819.460022,"MSS"
"M5_1_MSS",557.5784882,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",11472.88641,"MSS"
"T49_2_MSS",4198.800348,"MSS"
"M42_1_PD",13322.80861,"PD"
"M42_2_PD",5418.916512,"PD"
"M43_1_PD",8704.411632,"PD"
"M43_2_PD",4935.127883,"PD"
"M64_1_PD",16961.49313,"PD"
"M64_2_PD",8160.903638,"PD"
"M1_1_MSS",1213982.437,"MSS"
"M1_2_MSS",522142.4142,"MSS"
"M5_1_MSS",230734.7269,"MSS"
"M5_2_MSS",187180.5756,"MSS"
"T49_1_MSS",3011109.68,"MSS"
"T49_2_MSS",565517.7532,"MSS"
"M42_1_PD",372451.9349,"PD"
"M42_2_PD",288820.998,"PD"
"M43_1_PD",1163707.996,"PD"
"M43_2_PD",269288.0323,"PD"
"M64_1_PD",1875261.77,"PD"
"M64_2_PD",1063965.989,"PD"
"M1_1_MSS",485852.4958,"MSS"
"M1_2_MSS",44385.13109,"MSS"
"M5_1_MSS",29697.23749,"MSS"
"M5_2_MSS",14109.09534,"MSS"
"T49_1_MSS",1111092.7,"MSS"
"T49_2_MSS",160325.6597,"MSS"
"M42_1_PD",222466.8835,"PD"
"M42_2_PD",98932.04332,"PD"
"M43_1_PD",564302.5436,"PD"
"M43_2_PD",71811.65218,"PD"
"M64_1_PD",598318.8985,"PD"
"M64_2_PD",402655.5194,"PD"
"M1_1_MSS",200979.799,"MSS"
"M1_2_MSS",245960.6029,"MSS"
"M5_1_MSS",92585.22409,"MSS"
"M5_2_MSS",74811.17451,"MSS"
"T49_1_MSS",1159922.109,"MSS"
"T49_2_MSS",1015873.632,"MSS"
"M42_1_PD",171887.7385,"PD"
"M42_2_PD",336884.2781,"PD"
"M43_1_PD",313849.8388,"PD"
"M43_2_PD",544577.0067,"PD"
"M64_1_PD",857971.4066,"PD"
"M64_2_PD",671140.4426,"PD"
"M1_1_MSS",243855.2404,"MSS"
"M1_2_MSS",61512.75705,"MSS"
"M5_1_MSS",13264.17749,"MSS"
"M5_2_MSS",3662.602471,"MSS"
"T49_1_MSS",1087274.843,"MSS"
"T49_2_MSS",829405.0854,"MSS"
"M42_1_PD",236317.4401,"PD"
"M42_2_PD",491704.5979,"PD"
"M43_1_PD",452288.772,"PD"
"M43_2_PD",553492.9293,"PD"
"M64_1_PD",911749.1318,"PD"
"M64_2_PD",618098.8193,"PD"
"M1_1_MSS",42563.04574,"MSS"
"M1_2_MSS",17860.41329,"MSS"
"M5_1_MSS",4435.908033,"MSS"
"M5_2_MSS",2842.955058,"MSS"
"T49_1_MSS",265941.1946,"MSS"
"T49_2_MSS",187592.5058,"MSS"
"M42_1_PD",50126.12905,"PD"
"M42_2_PD",93784.47713,"PD"
"M43_1_PD",102567.0849,"PD"
"M43_2_PD",100386.2839,"PD"
"M64_1_PD",152160.0635,"PD"
"M64_2_PD",89517.90812,"PD"
"M1_1_MSS",89464.54304,"MSS"
"M1_2_MSS",767.4743805,"MSS"
"M5_1_MSS",6454.578632,"MSS"
"M5_2_MSS",6.965305998,"MSS"
"T49_1_MSS",265154.3369,"MSS"
"T49_2_MSS",27891.2144,"MSS"
"M42_1_PD",43289.41523,"PD"
"M42_2_PD",20315.14662,"PD"
"M43_1_PD",113492.4473,"PD"
"M43_2_PD",16082.68236,"PD"
"M64_1_PD",111822.4911,"PD"
"M64_2_PD",66346.02423,"PD"
"M1_1_MSS",496911.4792,"MSS"
"M1_2_MSS",617540.0465,"MSS"
"M5_1_MSS",85499.27622,"MSS"
"M5_2_MSS",69809.81778,"MSS"
"T49_1_MSS",2199846.005,"MSS"
"T49_2_MSS",2375270.859,"MSS"
"M42_1_PD",430861.1836,"PD"
"M42_2_PD",907291.228,"PD"
"M43_1_PD",751929.3026,"PD"
"M43_2_PD",1261011.216,"PD"
"M64_1_PD",1679627.438,"PD"
"M64_2_PD",1234104,"PD"
"M1_1_MSS",817308.8222,"MSS"
"M1_2_MSS",365685.4882,"MSS"
"M5_1_MSS",153718.3988,"MSS"
"M5_2_MSS",162621.325,"MSS"
"T49_1_MSS",2417135.509,"MSS"
"T49_2_MSS",446855.7488,"MSS"
"M42_1_PD",329707.1802,"PD"
"M42_2_PD",190043.5984,"PD"
"M43_1_PD",1011662.219,"PD"
"M43_2_PD",215040.7309,"PD"
"M64_1_PD",1177805.357,"PD"
"M64_2_PD",999390.8862,"PD"
"M1_1_MSS",318076.3688,"MSS"
"M1_2_MSS",189891.1633,"MSS"
"M5_1_MSS",37204.30408,"MSS"
"M5_2_MSS",34703.39853,"MSS"
"T49_1_MSS",322994.6324,"MSS"
"T49_2_MSS",203284.7043,"MSS"
"M42_1_PD",163399.1451,"PD"
"M42_2_PD",369284.2782,"PD"
"M43_1_PD",396807.7289,"PD"
"M43_2_PD",320507.4487,"PD"
"M64_1_PD",312393.3441,"PD"
"M64_2_PD",312134.3404,"PD"
"M1_1_MSS",54505.57253,"MSS"
"M1_2_MSS",59757.18293,"MSS"
"M5_1_MSS",9506.695254,"MSS"
"M5_2_MSS",9690.175961,"MSS"
"T49_1_MSS",68230.9631,"MSS"
"T49_2_MSS",64971.71501,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",74575.08276,"PD"
"M43_1_PD",95956.75425,"PD"
"M43_2_PD",111993.4748,"PD"
"M64_1_PD",96225.11185,"PD"
"M64_2_PD",106205.0782,"PD"
"M1_1_MSS",2899376.385,"MSS"
"M1_2_MSS",1853913.111,"MSS"
"M5_1_MSS",725424.0141,"MSS"
"M5_2_MSS",555221.3239,"MSS"
"T49_1_MSS",11403751.46,"MSS"
"T49_2_MSS",6245065.706,"MSS"
"M42_1_PD",5739037.567,"PD"
"M42_2_PD",5044739.975,"PD"
"M43_1_PD",6291237.304,"PD"
"M43_2_PD",5422421.846,"PD"
"M64_1_PD",4982702.515,"PD"
"M64_2_PD",4079506.264,"PD"
"M1_1_MSS",8365.551527,"MSS"
"M1_2_MSS",4817.875937,"MSS"
"M5_1_MSS",18507.18397,"MSS"
"M5_2_MSS",15378.46662,"MSS"
"T49_1_MSS",212492.0464,"MSS"
"T49_2_MSS",168545.5868,"MSS"
"M42_1_PD",99028.77924,"PD"
"M42_2_PD",87986.29836,"PD"
"M43_1_PD",80214.41873,"PD"
"M43_2_PD",53335.36808,"PD"
"M64_1_PD",122758.6419,"PD"
"M64_2_PD",106213.0522,"PD"
"M1_1_MSS",488.8297628,"MSS"
"M1_2_MSS",268.5274007,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",492.8357025,"MSS"
"T49_1_MSS",1946.94658,"MSS"
"T49_2_MSS",12005.52358,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",8902.409097,"PD"
"M43_1_PD",9928.384325,"PD"
"M43_2_PD",30976.20864,"PD"
"M64_1_PD",21702.74512,"PD"
"M64_2_PD",23100.07367,"PD"
"M1_1_MSS",41646.01084,"MSS"
"M1_2_MSS",40052.86731,"MSS"
"M5_1_MSS",17603.85765,"MSS"
"M5_2_MSS",16840.37503,"MSS"
"T49_1_MSS",314252.7687,"MSS"
"T49_2_MSS",142809.5748,"MSS"
"M42_1_PD",232343.5307,"PD"
"M42_2_PD",216314.3612,"PD"
"M43_1_PD",97089.47522,"PD"
"M43_2_PD",121039.6011,"PD"
"M64_1_PD",365751.5604,"PD"
"M64_2_PD",357216.7287,"PD"
"M1_1_MSS",9749.456088,"MSS"
"M1_2_MSS",152125.7784,"MSS"
"M5_1_MSS",5817.028277,"MSS"
"M5_2_MSS",8600.734835,"MSS"
"T49_1_MSS",57438.4488,"MSS"
"T49_2_MSS",188971.902,"MSS"
"M42_1_PD",5854.813563,"PD"
"M42_2_PD",4873.824278,"PD"
"M43_1_PD",2696.001956,"PD"
"M43_2_PD",49143.78483,"PD"
"M64_1_PD",111.2157934,"PD"
"M64_2_PD",136798.7412,"PD"
"M1_1_MSS",4937.587054,"MSS"
"M1_2_MSS",13534.59967,"MSS"
"M5_1_MSS",877.3432476,"MSS"
"M5_2_MSS",993.8172114,"MSS"
"T49_1_MSS",42573.49581,"MSS"
"T49_2_MSS",53145.26215,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",1450.938658,"PD"
"M43_1_PD",14051.36921,"PD"
"M43_2_PD",30634.82304,"PD"
"M64_1_PD",26584.1717,"PD"
"M64_2_PD",83170.27251,"PD"
"M1_1_MSS",5660.353083,"MSS"
"M1_2_MSS",32015.10421,"MSS"
"M5_1_MSS",18331.30924,"MSS"
"M5_2_MSS",22345.05831,"MSS"
"T49_1_MSS",209797.4387,"MSS"
"T49_2_MSS",634181.3486,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",1458.660545,"PD"
"M43_2_PD",52224.1307,"PD"
"M64_1_PD",4239.600903,"PD"
"M64_2_PD",78665.46511,"PD"
"M1_1_MSS",3120.408424,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",4030.956825,"MSS"
"M5_2_MSS",1468.514799,"MSS"
"T49_1_MSS",108366.5672,"MSS"
"T49_2_MSS",91391.71684,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",10879.3478,"PD"
"M43_1_PD",4699.321169,"PD"
"M43_2_PD",3650.419656,"PD"
"M64_1_PD",48158.70191,"PD"
"M64_2_PD",48932.77393,"PD"
"M1_1_MSS",102158.275,"MSS"
"M1_2_MSS",39732.13528,"MSS"
"M5_1_MSS",682.4843762,"MSS"
"M5_2_MSS",148.1671944,"MSS"
"T49_1_MSS",477197.6151,"MSS"
"T49_2_MSS",71004.01207,"MSS"
"M42_1_PD",368738.7135,"PD"
"M42_2_PD",73682.99967,"PD"
"M43_1_PD",281602.8945,"PD"
"M43_2_PD",62805.12274,"PD"
"M64_1_PD",323631.7571,"PD"
"M64_2_PD",311000.4491,"PD"
"M1_1_MSS",30059.97582,"MSS"
"M1_2_MSS",31459.98263,"MSS"
"M5_1_MSS",315.0012575,"MSS"
"M5_2_MSS",904.3458834,"MSS"
"T49_1_MSS",236150.4048,"MSS"
"T49_2_MSS",272695.9604,"MSS"
"M42_1_PD",124927.7455,"PD"
"M42_2_PD",256002.9696,"PD"
"M43_1_PD",103380.3746,"PD"
"M43_2_PD",214872.969,"PD"
"M64_1_PD",331867.108,"PD"
"M64_2_PD",267941.8043,"PD"
"M1_1_MSS",6043.078042,"MSS"
"M1_2_MSS",4061.236459,"MSS"
"M5_1_MSS",1068.000727,"MSS"
"M5_2_MSS",1525.04198,"MSS"
"T49_1_MSS",17951.11515,"MSS"
"T49_2_MSS",9202.297621,"MSS"
"M42_1_PD",6262.830242,"PD"
"M42_2_PD",7417.102075,"PD"
"M43_1_PD",8971.792403,"PD"
"M43_2_PD",7589.489311,"PD"
"M64_1_PD",25512.29122,"PD"
"M64_2_PD",20570.58974,"PD"
"M1_1_MSS",371.2822685,"MSS"
"M1_2_MSS",81.82994458,"MSS"
"M5_1_MSS",1511.074309,"MSS"
"M5_2_MSS",572.5824314,"MSS"
"T49_1_MSS",29626.97055,"MSS"
"T49_2_MSS",16352.91833,"MSS"
"M42_1_PD",21124.02216,"PD"
"M42_2_PD",17361.05849,"PD"
"M43_1_PD",3808.550055,"PD"
"M43_2_PD",1502.467068,"PD"
"M64_1_PD",9638.819368,"PD"
"M64_2_PD",5408.154163,"PD"
"M1_1_MSS",345205.1606,"MSS"
"M1_2_MSS",262834.689,"MSS"
"M5_1_MSS",30818.44217,"MSS"
"M5_2_MSS",27673.16425,"MSS"
"T49_1_MSS",341997.3315,"MSS"
"T49_2_MSS",208376.3644,"MSS"
"M42_1_PD",23594.72109,"PD"
"M42_2_PD",62958.03095,"PD"
"M43_1_PD",228483.9756,"PD"
"M43_2_PD",193187.6862,"PD"
"M64_1_PD",55401.37368,"PD"
"M64_2_PD",62716.5911,"PD"
"M1_1_MSS",42732.86629,"MSS"
"M1_2_MSS",7986.22616,"MSS"
"M5_1_MSS",8.723677957,"MSS"
"M5_2_MSS",23.79383495,"MSS"
"T49_1_MSS",106807.2671,"MSS"
"T49_2_MSS",47935.47307,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",12654.43073,"PD"
"M43_1_PD",74830.19952,"PD"
"M43_2_PD",39630.40112,"PD"
"M64_1_PD",26337.75028,"PD"
"M64_2_PD",26413.38267,"PD"
"M1_1_MSS",521013.0197,"MSS"
"M1_2_MSS",390660.9346,"MSS"
"M5_1_MSS",83319.00907,"MSS"
"M5_2_MSS",92858.27016,"MSS"
"T49_1_MSS",607576.5773,"MSS"
"T49_2_MSS",403037.8048,"MSS"
"M42_1_PD",86261.00285,"PD"
"M42_2_PD",182782.8572,"PD"
"M43_1_PD",796313.3434,"PD"
"M43_2_PD",597102.6906,"PD"
"M64_1_PD",357668.5212,"PD"
"M64_2_PD",385286.498,"PD"
"M1_1_MSS",69164.35873,"MSS"
"M1_2_MSS",54758.92173,"MSS"
"M5_1_MSS",2300.696366,"MSS"
"M5_2_MSS",491.4286282,"MSS"
"T49_1_MSS",5032.162027,"MSS"
"T49_2_MSS",6643.5831,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",5895.657971,"PD"
"M43_1_PD",0,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",0,"PD"
"M1_1_MSS",152909.3266,"MSS"
"M1_2_MSS",126000.8313,"MSS"
"M5_1_MSS",1035.545517,"MSS"
